,loc,type,provider,estimate,RIN
5456,27,A,32.0,5.0,8.2
7015,27,T1,6.0,5.0,7.9
6759,4,A,25.0,4.0,4.8
9472,9,A,40.0,2.0,4.3
8507,53,A,36.0,2.0,6.4
5539,4,T1,3.0,5.0,8.0
12627,68,B2,42.0,5.0,8.1
6413,12,A,33.0,3.0,2.7
10294,99,T2,4.0,5.0,7.7
5036,5,A,33.0,5.0,4.6
5388,5,A,32.0,5.0,4.4
11922,66,T2,5.0,4.0,6.5
4955,10,T2,17.0,5.0,2.8
8505,79,A,36.0,2.0,8.2
6799,98,A,25.0,2.0,1.5
10538,4,A,36.0,2.0,3.9
12706,90,B2,22.0,5.0,1.6
10781,90,B2,13.0,4.0,3.0
4656,3,T2,17.0,5.0,3.8
12858,1,T2,24.0,4.0,0.0
10842,3,T2,38.0,4.0,3.9
10806,19,T2,3.0,5.0,4.0
11339,2,T2,4.0,5.0,8.3
13180,2,T1,5.0,5.0,0.0
5186,2,T3,4.0,5.0,5.5
12794,53,A,33.0,5.0,5.9
4675,27,A,32.0,5.0,1.2
7218,3,T2,17.0,4.0,0.0
9421,53,A,36.0,3.0,0.0
12065,1,T1,4.0,2.0,0.0
12192,7,A,40.0,2.0,0.0
11827,2,T2,5.0,4.0,8.3
7585,55,S1,3.0,5.0,3.4
9896,27,A,40.0,2.0,1.3
4534,1,S2,4.0,5.0,5.9
7429,8,T2,17.0,3.0,4.2
5044,2,T1,17.0,5.0,5.5
5132,2,T1,17.0,5.0,8.2
8312,75,T6,17.0,5.0,3.4
6814,29,A,36.0,4.0,7.2
5296,2,T1,24.0,5.0,5.2
11338,2,T1,4.0,5.0,2.3
9514,4,A,36.0,2.0,4.5
11100,3,T3,4.0,5.0,3.7
10586,30,A,43.0,2.0,2.0
4694,29,A,21.0,5.0,4.1
9102,4,T1,4.0,5.0,1.8
9415,9,A,40.0,3.0,0.0
12590,13,T5,4.0,5.0,7.7
11190,1,T2,3.0,5.0,1.6
9315,5,A,36.0,3.0,2.0
8300,19,T1,3.0,5.0,6.3
8858,4,T2,4.0,4.0,7.4
10678,4,T1,4.0,4.0,4.2
9834,2,T1,4.0,2.0,2.2
8843,65,T4,4.0,5.0,6.4
10304,65,T4,4.0,4.0,5.8
8832,95,T1,3.0,5.0,5.8
8129,6,T3,6.0,4.0,0.0
11149,4,T2,3.0,5.0,0.0
